City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Butaritari,KI,81.7,light rain,3.0707,172.7902,
10,Ancud,CL,75.2,clear sky,-41.8697,-73.8203,
12,Atuona,PF,79.16,light rain,-9.8,-139.0333,
16,Alofi,NU,78.8,light rain,-19.0595,-169.9187,
17,Vaini,TO,84.2,broken clouds,-21.2,-175.2,
18,Rikitea,PF,79.07,clear sky,-23.1203,-134.9692,
21,Arraial Do Cabo,BR,75.97,moderate rain,-22.9661,-42.0278,
24,Santiago,CL,75.0,clear sky,-33.4569,-70.6483,
29,Puerto Ayora,EC,78.01,overcast clouds,-0.7393,-90.3518,
32,Cabo San Lucas,MX,80.6,few clouds,22.8909,-109.9124,
34,Lorengau,PG,84.11,broken clouds,-2.0226,147.2712,
43,Flinders,AU,75.0,light rain,-34.5833,150.8552,
49,San Andres,CO,80.6,few clouds,12.5847,-81.7006,
53,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,
56,Avarua,CK,86.0,few clouds,-21.2078,-159.775,
61,Inongo,CD,75.04,overcast clouds,-1.95,18.2667,
66,Souillac,MU,77.0,broken clouds,-20.5167,57.5167,
68,Hilo,US,78.8,broken clouds,19.7297,-155.09,
71,Tambun,ID,80.01,haze,-6.2641,107.0712,
79,Tamandare,BR,78.44,broken clouds,-8.7597,-35.1047,
86,Cockburn Town,TC,77.0,scattered clouds,21.4612,-71.1419,
92,Carnarvon,AU,80.6,overcast clouds,-24.8667,113.6333,
102,Takoradi,GH,79.47,clear sky,4.8845,-1.7554,
107,Merauke,ID,84.04,overcast clouds,-8.4667,140.3333,
109,Araouane,ML,79.02,overcast clouds,18.9048,-3.5265,
114,Luanda,AO,78.8,clear sky,-8.8368,13.2343,
116,Rurrenabaque,BO,82.4,broken clouds,-14.4413,-67.5278,
120,Dosso,NE,76.32,clear sky,13.049000000000001,3.1937,
121,Bahia Blanca,AR,87.6,clear sky,-38.7196,-62.2724,
122,Ternate,ID,81.95,overcast clouds,0.8,127.4,
124,Mahebourg,MU,77.0,light rain,-20.4081,57.7,
126,Georgetown,MY,79.0,few clouds,5.4112,100.3354,
133,Bambous Virieux,MU,77.0,light rain,-20.3428,57.7575,
134,Champerico,GT,80.6,broken clouds,14.3,-91.9167,
141,Kerema,PG,84.07,overcast clouds,-7.9631,145.7785,
145,Bubaque,GW,79.11,overcast clouds,11.2833,-15.8333,
150,Hobyo,SO,75.96,scattered clouds,5.3505,48.5268,
151,Cayenne,GF,77.0,broken clouds,4.9333,-52.3333,
154,Jombang,ID,78.8,haze,-7.546,112.2331,
158,Cairns,AU,82.99,light rain,-16.9167,145.7667,
162,Itarema,BR,78.13,few clouds,-2.9248,-39.9167,
163,Kirakira,SB,82.72,broken clouds,-10.4544,161.9205,
164,Kavieng,PG,83.32,overcast clouds,-2.5744,150.7967,
170,Hervey Bay,AU,82.4,broken clouds,-25.2986,152.8535,
175,Yaan,NG,78.48,scattered clouds,7.3833,8.5667,
176,Pangkalanbuun,ID,76.37,overcast clouds,-2.6833,111.6167,
177,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,
179,Boa Vista,BR,82.4,light rain,2.8197,-60.6733,
180,San Cristobal,VE,82.4,broken clouds,7.7669,-72.225,
183,San Policarpo,PH,80.19,scattered clouds,12.1791,125.5072,
189,Hithadhoo,MV,82.2,overcast clouds,-0.6,73.0833,
192,Bengkulu,ID,76.17,broken clouds,-3.8004,102.2655,
200,Iracoubo,GF,77.41,overcast clouds,5.4802,-53.2011,
204,Buchanan,LR,77.0,few clouds,5.8808,-10.0467,
