City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Okhotsk,RU,59.3833,143.3,14.09,88,100,23.35,overcast clouds
1,Jamestown,US,42.097,-79.2353,21.0,86,90,9.22,light snow
2,Ushuaia,AR,-54.8,-68.3,57.2,54,20,14.97,few clouds
3,Sunbury,AU,-37.5833,144.7333,57.2,62,75,10.36,broken clouds
4,Marovoay,MG,-16.1,46.6333,80.6,83,40,6.91,moderate rain
5,Coahuayana,MX,18.7333,-103.6833,68.0,73,1,0.92,clear sky
6,Nouadhibou,MR,20.931,-17.0347,75.2,33,0,16.11,clear sky
7,Puerto Ayora,EC,-0.7393,-90.3518,80.6,78,0,12.66,clear sky
8,Asau,RO,46.4333,26.4,28.99,75,100,2.95,overcast clouds
9,Saint George,US,37.1041,-113.5841,30.2,64,1,0.45,clear sky
10,Rikitea,PF,-23.1203,-134.9692,77.2,73,95,11.45,light rain
11,Mar Del Plata,AR,-38.0023,-57.5575,64.4,82,90,12.66,moderate rain
12,Krasnoselkup,RU,65.7,82.4667,4.87,94,100,18.48,light snow
13,Hermanus,ZA,-34.4187,19.2345,72.0,59,57,4.0,broken clouds
14,Busselton,AU,-33.65,115.3333,63.0,98,100,14.67,overcast clouds
15,East London,ZA,-33.0153,27.9116,73.4,78,20,11.5,few clouds
16,Cherskiy,RU,68.75,161.3,-3.42,73,59,1.86,broken clouds
17,Fortuna,US,40.5982,-124.1573,44.6,93,90,3.71,overcast clouds
18,Oksbol,DK,55.6268,8.2876,28.4,69,40,14.97,scattered clouds
19,San Policarpo,PH,12.1791,125.5072,80.29,84,100,18.14,overcast clouds
20,Husavik,IS,66.0449,-17.3389,32.0,80,75,3.44,broken clouds
21,Mataura,NZ,-46.1927,168.8643,52.43,88,99,1.88,overcast clouds
22,Pangkalanbuun,ID,-2.6833,111.6167,75.18,96,92,2.91,moderate rain
23,Chokurdakh,RU,70.6333,147.9167,-27.49,84,56,4.36,broken clouds
24,Provideniya,RU,64.3833,-173.3,-3.64,77,18,14.43,few clouds
25,Albany,US,42.6001,-73.9662,24.01,68,100,5.53,light snow
26,Beringovskiy,RU,63.05,179.3167,-5.49,89,99,13.94,overcast clouds
27,Verkhoyansk,RU,67.5447,133.385,-31.58,82,0,0.94,clear sky
28,Bonavista,CA,48.6499,-53.1147,33.01,55,71,19.57,broken clouds
29,Burns Lake,CA,54.2331,-125.7533,-0.4,78,99,1.7,overcast clouds
30,Cape Town,ZA,-33.9258,18.4232,73.4,46,0,27.63,clear sky
31,Atar,MR,20.5169,-13.0499,76.46,19,0,18.1,clear sky
32,Padang,ID,-0.9492,100.3543,80.6,89,20,2.3,few clouds
33,Ndende,GA,-2.4008,11.3581,87.8,62,90,6.91,light rain
34,Barrow,US,71.2906,-156.7887,-18.4,69,90,11.5,light snow
35,Atuona,PF,-9.8,-139.0333,79.03,76,38,21.05,scattered clouds
36,Khatanga,RU,71.9667,102.5,-31.88,79,0,8.72,clear sky
37,Punta Arenas,CL,-53.15,-70.9167,59.0,47,0,10.36,clear sky
38,Saint-Georges,GD,12.0564,-61.7485,84.2,65,20,23.02,few clouds
39,Hovd,MN,48.0056,91.6419,13.87,87,86,0.43,overcast clouds
40,Bluff,NZ,-46.6,168.3333,54.34,89,100,4.88,overcast clouds
41,Avera,US,33.194,-82.5271,41.0,75,90,6.91,overcast clouds
42,Kos,GR,36.8933,27.2889,60.8,77,20,19.57,few clouds
43,Kapaa,US,22.0752,-159.319,57.2,82,1,8.05,clear sky
44,Airai,TL,-8.9266,125.4092,61.23,100,100,2.33,overcast clouds
45,Esperance,AU,-33.8667,121.9,64.4,82,90,17.27,overcast clouds
