City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Provideniya,RU,2021-02-03 06:27:29,64.3833,-173.3,5.14,91,100,14.81
1,Bassila,BJ,2021-02-03 06:28:32,9.0081,1.6654,68.0,42,8,2.91
2,Severo-Kurilsk,RU,2021-02-03 06:26:13,50.6789,156.125,19.06,90,99,35.68
3,Klaksvik,FO,2021-02-03 06:26:30,62.2266,-6.589,37.4,65,75,13.8
4,Ternate,ID,2021-02-03 06:28:30,0.8,127.4,82.8,74,13,10.65
5,Butaritari,KI,2021-02-03 06:26:26,3.0707,172.7902,81.97,83,91,18.28
6,Busselton,AU,2021-02-03 06:25:38,-33.65,115.3333,66.0,72,1,7.0
7,Leningradskiy,RU,2021-02-03 06:27:28,69.3833,178.4167,-10.68,85,100,15.14
8,Katobu,ID,2021-02-03 06:28:32,-4.9408,122.5276,88.45,58,84,6.98
9,Castro,BR,2021-02-03 06:22:20,-24.7911,-50.0119,64.13,96,76,4.23
10,Suba,PH,2021-02-03 06:28:32,10.8438,121.0102,80.56,79,38,29.93
11,Soe,ID,2021-02-03 06:28:32,-9.8607,124.284,69.33,100,100,5.19
12,Vestmanna,FO,2021-02-03 06:28:21,62.1564,-7.1664,37.4,65,75,13.8
13,Ayan,RU,2021-02-03 06:28:33,56.45,138.1667,-23.64,68,77,13.67
14,Mahebourg,MU,2021-02-03 06:26:13,-20.4081,57.7,84.2,70,75,11.5
15,Avarua,CK,2021-02-03 06:26:22,-21.2078,-159.775,80.6,78,20,12.66
16,Saint George,US,2021-02-03 06:25:23,37.1041,-113.5841,52.0,71,20,3.44
17,Lagoa Da Prata,BR,2021-02-03 06:28:33,-20.0225,-45.5436,67.86,85,100,3.33
18,Grindavik,IS,2021-02-03 06:26:33,63.8424,-22.4338,35.6,69,40,19.57
19,Port Alfred,ZA,2021-02-03 06:26:14,-33.5906,26.891,75.0,77,5,1.99
20,Anadyr,RU,2021-02-03 06:28:33,64.75,177.4833,12.2,73,40,13.42
21,Naron,ES,2021-02-03 06:28:33,43.5167,-8.1528,55.0,81,20,14.97
22,San Policarpo,PH,2021-02-03 06:26:40,12.1791,125.5072,82.58,73,98,15.68
23,Sitka,US,2021-02-03 06:26:40,57.0531,-135.33,32.0,86,20,3.44
24,Chinchina,CO,2021-02-03 06:28:34,4.9825,-75.6036,63.12,75,93,2.55
25,Pisco,PE,2021-02-03 06:26:30,-13.7,-76.2167,71.6,68,0,6.91
26,Airai,TL,2021-02-03 06:26:59,-8.9266,125.4092,67.51,99,86,5.03
27,Zyryanovsk,KZ,2021-02-03 06:28:34,49.7386,84.2719,22.12,96,100,1.34
28,Puerto Ayora,EC,2021-02-03 06:26:16,-0.7393,-90.3518,75.99,94,77,3.0
29,Fortuna,US,2021-02-03 06:26:41,40.5982,-124.1573,44.01,100,90,6.91
30,Mataura,NZ,2021-02-03 06:26:12,-46.1927,168.8643,60.49,54,61,6.85
31,Fairmount,US,2021-02-03 06:28:34,43.0473,-76.2385,28.99,86,90,16.11
32,Jamestown,US,2021-02-03 06:26:17,42.097,-79.2353,26.01,80,40,11.5
33,Cabo San Lucas,MX,2021-02-03 06:23:40,22.8909,-109.9124,64.99,65,100,1.01
34,Garowe,SO,2021-02-03 06:28:35,8.4054,48.4845,70.52,36,61,16.87
35,Biak,ID,2021-02-03 06:28:34,-0.9131,122.8766,85.14,66,96,3.06
36,Victor Harbor,AU,2021-02-03 06:28:35,-35.5667,138.6167,69.01,68,55,1.01
37,Vaini,TO,2021-02-03 06:26:21,-21.2,-175.2,77.0,100,90,8.05
38,Albany,US,2021-02-03 06:26:26,42.6001,-73.9662,28.0,81,98,1.99
39,Georgetown,MY,2021-02-03 06:26:37,5.4112,100.3354,89.01,62,20,10.36
40,Nogliki,RU,2021-02-03 06:28:35,51.8333,143.1667,-19.98,80,88,14.41
41,Aracati,BR,2021-02-03 06:28:35,-4.5617,-37.7697,78.21,76,61,9.57
42,Naze,JP,2021-02-03 06:26:14,28.3667,129.4833,59.0,58,75,12.66
43,Dikson,RU,2021-02-03 06:26:28,73.5069,80.5464,-24.29,87,4,14.5
44,Necochea,AR,2021-02-03 06:26:25,-38.5473,-58.7368,59.22,90,78,5.21
45,Constitucion,CL,2021-02-03 06:26:34,-35.3333,-72.4167,57.81,83,0,0.78
46,Kruisfontein,ZA,2021-02-03 06:26:20,-34.0033,24.7314,78.01,62,0,1.99
47,Kodiak,US,2021-02-03 06:24:55,57.79,-152.4072,33.35,96,100,12.62
48,Luau,AO,2021-02-03 06:28:36,-10.7073,22.2247,65.44,99,100,2.42
49,Harper,LR,2021-02-03 06:28:36,4.375,-7.7169,77.72,89,28,4.59
50,Qaanaaq,GL,2021-02-03 06:26:37,77.484,-69.3632,-12.12,83,100,2.35
